"CountryCode","gdpRank","X.2","fullName","gdpValue","X.5","X.6","X.7","X.8","X.9"
"LBN",83,NA,"Lebanon"," 42,945 ","",NA,NA,NA,NA
"LTU",84,NA,"Lithuania"," 42,344 ","",NA,NA,NA,NA
"ETH",85,NA,"Ethiopia"," 41,605 ","",NA,NA,NA,NA
"GHA",86,NA,"Ghana"," 40,711 ","",NA,NA,NA,NA
"KEN",87,NA,"Kenya"," 40,697 ","",NA,NA,NA,NA
"SRB",88,NA,"Serbia"," 37,489 ","",NA,NA,NA,NA
"PAN",89,NA,"Panama"," 36,253 ","",NA,NA,NA,NA
"YEM",90,NA,"Yemen, Rep."," 35,646 ","",NA,NA,NA,NA
"TKM",91,NA,"Turkmenistan"," 35,164 ","",NA,NA,NA,NA
"JOR",92,NA,"Jordan"," 31,015 ","",NA,NA,NA,NA
"BHR",93,NA,"Bahrain"," 29,044 ","",NA,NA,NA,NA
"LVA",94,NA,"Latvia"," 28,373 ","",NA,NA,NA,NA
"TZA",95,NA,"Tanzania"," 28,242 ","c",NA,NA,NA,NA
"BOL",96,NA,"Bolivia"," 27,035 ","",NA,NA,NA,NA
"PRY",97,NA,"Paraguay"," 25,502 ","",NA,NA,NA,NA
"CMR",98,NA,"Cameroon"," 25,322 ","",NA,NA,NA,NA
"CIV",99,NA,"Côte d'Ivoire"," 24,680 ","",NA,NA,NA,NA
"SLV",100,NA,"El Salvador"," 23,864 ","",NA,NA,NA,NA
"TTO",101,NA,"Trinidad and Tobago"," 23,320 ","",NA,NA,NA,NA
"CYP",102,NA,"Cyprus"," 22,767 ","d",NA,NA,NA,NA
"EST",103,NA,"Estonia"," 22,390 ","",NA,NA,NA,NA
"ZMB",104,NA,"Zambia"," 20,678 ","",NA,NA,NA,NA
"AFG",105,NA,"Afghanistan"," 20,497 ","",NA,NA,NA,NA
"UGA",106,NA,"Uganda"," 19,881 ","",NA,NA,NA,NA
"NPL",107,NA,"Nepal"," 18,963 ","",NA,NA,NA,NA
"HND",108,NA,"Honduras"," 18,434 ","",NA,NA,NA,NA
"GAB",109,NA,"Gabon"," 18,377 ","",NA,NA,NA,NA
"GNQ",110,NA,"Equatorial Guinea"," 17,697 ","",NA,NA,NA,NA
"BIH",111,NA,"Bosnia and Herzegovina"," 17,466 ","",NA,NA,NA,NA
"ZAR",112,NA,"Congo, Dem. Rep."," 17,204 ","",NA,NA,NA,NA
"BRN",113,NA,"Brunei Darussalam"," 16,954 ","",NA,NA,NA,NA
"GEO",114,NA,"Georgia"," 15,747 ","e",NA,NA,NA,NA
"PNG",115,NA,"Papua New Guinea"," 15,654 ","",NA,NA,NA,NA
